TIPO,Subcategoria,Numero,Comida,Precio,sin foto,pescado,molusco,marisco,cacahuete,apio,altramuces,mostaza,frutos secos,huevos,lacteos,sesamo,sulfitos,trigo,soja
SUSHI,SUSHI,47,Nigiri de salmón flambeado (4U),7.50,,1,,,,,,,,1,,,,1,1
SUSHI,SUSHI,48,Nigiri de atún y salmon (4U),7.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,49,Nigiri de sushi EBI (4U),6.90,,,,1,,,,,,,,,,,
SUSHI,SUSHI,50,Nigiri vegetal (4U),6.90,,,,,,,,,,,,,,,
SUSHI,SUSHI,51,Nigiri de foie (2U),6.90,,1,,,,,,,,,,,,1,1
SUSHI,SUSHI,52,Sushi roll de salmón y aguacate (4U),7.50,,1,,,,,,1,,1,,,,1,1
SUSHI,SUSHI,53,Sushi roll de tempura de langostino (4U),7.50,,,,1,,,,,,1,,,,1,1
SUSHI,SUSHI,54,California roll con tobiko (4U),6.90,,1,,1,,,,,,1,,,,,
SUSHI,SUSHI,55,Uramaki rollo de salmon,6.90,,1,,,,,,,,,,,,1,1
SUSHI,SUSHI,60,Maki de Salmón,6.90,,1,,,,,,,,,,,,,
SUSHI,SUSHI,61,Maki de Atún ,7.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,62,Maki de Aguacate ,6.50,,,,,,,,,,,,,,,
SUSHI,SUSHI,63,Maki de Salmón con queso Philadelphia ,6.90,,1,,,,,,,,,,,,,
SUSHI,SUSHI,64,Roll de Salmón con queso Philadelphia,7.50,,1,,,,,,,,,,,,,
SUSHI,,,SUSHI ESPECIAL,,,,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,70,Sushi Box 26U,33.95,,1,,,,,,1,,1,,,,,
SUSHI,SUSHI ESPECIAL,71,Combo Special Rolls 16U,26.90,,1,,1,,,,1,,1,,,,,
SUSHI,SUSHI ESPECIAL,72,Combo Moriawase 20U,29.95,,1,,,,,,1,,,,,,,
SUSHI,SUSHI ESPECIAL,73,Combo Salmón 20U,28.95,,1,,,,,,1,,1,,,,,
SUSHI,SUSHI ESPECIAL,74,Combo Maki 16U,13.95,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,75,Basic Box 12U,12.95,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,76,Nigiri Box 8U,13.95,,1,,1,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,77,Sashimi Salmón 10U,15.95,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,78,Combo california y maki,13.95,,1,,1,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,
,,,BEBIDAS,,,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,200,Cerveza china,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,201,Cerveza japonesa,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,202,Cerveza Mahou,2.90,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,266,Cerveza 0.0 Tostada,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,267,Sake espumoso,12.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,203,Refrescos (todos),2.85,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,204,Agua sin gas 500ml Solán de Cabras,2.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,205,Agua sin gas 1L Solán de cabras,4.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,206,Agua con gas Vichy 500ml,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,207,Zumo natural de naranja,3.80,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,208,Redbull,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,209,Whisky solo,6.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,210,Gin solo,6.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,211,Ron solo,6.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,212,Whisky combinado,8,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,213,Gin combinado,8,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,214,Ron combinado,8,1,,,,,,,,,,,,,,
BEBIDAS,,,VINOS TINTOS,,,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,215,Vino de la casa (rioja),12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,216,Marqués de Cáceres 1/2 (Crianza),10.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,217,Marqués de Cáceres (Crianza),16.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,218,Ramón Bilbao (Rioja),18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,219,Protos joven (Ribera del Duero),16.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,220,Matarromera 1/2 (Ribera del Duero),22.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,221,Matarromera (Ribera del Duero),35.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,222,Pago de los capellanes (Crianza),28.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,223,Pago de Carraovejas (Ribera del Duero),45.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,224,Contino(Rioja),35.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,225,Muga (Crianza),24.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,226,Faustino I (Gran Reserva),26.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,227,Muga Reserva (Rioja),38.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,228,Basagoiti (Crianza),18.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,268,Marqués Riscal reserva,22.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS TINTOS,269,Marqués Riscal reserva 1/2,12.00,1,,,,,,,,,,,,,,
BEBIDAS,,,VINOS BLANCOS,,,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,229,Vino blanco de la casa (verdejo),12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,230,Diamante (Rioja),12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,231,Barbadillo,12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,241,Barbadillo 1/2 ,6.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,232,Marqués de Riscal verdejo 1/2 (Rueda),10.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,233,Marqués de Riscal verdejo (Rueda),16.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,234,Mar de frades (rias baixas),26.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,240,Viña Sol,12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS BLANCOS,236,Viñas del vero (Gewürztraminer),20.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,235,Vino rosado de la casa,12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,237,Gran feudo (Navara),12.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,238,Enate (somontano),16.00,1,,,,,,,,,,,,,,
BEBIDAS,VINOS ROSADOS,239,Sangría,12.00,1,,,,,,,,,,,,,,
