TIPO,Subcategoria,Numero,Comida,Precio,sin foto,pescado,molusco,marisco,cacahuete,apio,altramuces,mostaza,frutos secos,huevos,lacteos,sesamo,sulfitos,trigo,soja
SUSHI,SUSHI,47,Nigiri de salmón flambeado (4U),8.50,,1,,,,,,,,1,,,,1,1
SUSHI,SUSHI,48,Nigiri de atún y salmon (4U),8.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,49,Nigiri de sushi EBI (4U),7.95,,,,1,,,,,,,,,,,
SUSHI,SUSHI,50,Nigiri vegetal (4U),7.50,,,,,,,,,,,,,,,
SUSHI,SUSHI,51,Nigiri de foie (2U),7.95,,1,,,,,,,,,,,,1,1
SUSHI,SUSHI,52,Sushi roll de salmón y aguacate (4U),8.50,,1,,,,,,1,,1,,,,1,1
SUSHI,SUSHI,65,Roll chicken con salsa teriyaki(4U),8.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,53,Sushi roll de tempura de langostino (4U),8.50,,,,1,,,,,,1,,,,1,1
SUSHI,SUSHI,54,California roll con tobiko (4U),8.50,,1,,1,,,,,,1,,,,,
SUSHI,SUSHI,55,Uramaki rollo de salmon,8.50,,1,,,,,,,,,,,,1,1
SUSHI,SUSHI,60,Maki de Salmón,8.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,61,Maki de Atún ,8.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,62,Maki de Aguacate ,6.95,,,,,,,,,,,,,,,
SUSHI,SUSHI,63,Maki de Salmón con queso Philadelphia ,8.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI,64,Roll de Salmón con queso Philadelphia,8.50,,1,,,,,,,,1,1,,,,
SUSHI,,,SUSHI ESPECIAL,,,,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,70,Sushi Box 26U,37.95,,1,,,,,,1,,1,,,,,
SUSHI,SUSHI ESPECIAL,71,Combo Special Rolls 16U,29.95,,1,,1,,,,1,,1,,,,,
SUSHI,SUSHI ESPECIAL,72,Combo Moriawase 20U,31.95,,1,,,,,,1,,,,,,,
SUSHI,SUSHI ESPECIAL,73,Combo Salmón 20U,30.95,,1,,,,,,1,,1,,,,,
SUSHI,SUSHI ESPECIAL,74,Combo Maki 16U,15.95,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,75,Basic Box 12U,13.95,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,76,Nigiri Box 8U,15.95,,1,,1,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,77,Sashimi Salmón 10U,18.95,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,78,Combo california y maki,15.95,,1,,1,,,,,,1,,,,,
SUSHI,SUSHI ESPECIAL,79,Nigiri de salmón mezcla,8.50,,1,,,,,,,,,,,,,
SUSHI,SUSHI ESPECIAL,80,Box salmón,15.95,,1,,,,,,,,,,,,,1
,,,BEBIDAS,,,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,200,Cerveza china,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,201,Cerveza japonesa,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,202,Cerveza Mahou,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,205,Cerveza 0.0 Tostada,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,206,Cerveza sin alcohol,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,207,Cerveza mahou radler,3.50,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,208,Sake espumoso,12.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,203,Refrescos (todos),3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,209,Coca Cola,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,210,Bitter kas,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,211,Sprite,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,212,Fanta,3.00,1,,,,,,,,,,,,,,
BEBIDAS,BEBIDAS,213,Nestea,3.00,1,,,,,,,,,,,,,,
